iter	Passed	Remaining
0	32	31973
1	60	30413
2	93	31149
3	130	32618
4	174	34765
5	211	34970
6	244	34664
7	303	37609
8	336	37010
9	370	36658
10	416	37411
11	465	38285
12	497	37776
13	530	37364
14	563	37016
15	596	36686
16	637	36840
17	672	36674
18	719	37137
19	753	36902
20	796	37120
21	862	38348
22	894	37992
23	973	39574
24	1005	39225
25	1038	38902
26	1085	39105
27	1117	38806
28	1162	38914
29	1211	39170
30	1257	39301
31	1300	39355
32	1343	39357
33	1373	39021
34	1406	38786
35	1427	38238
36	1467	38192
37	1510	38231
38	1542	38015
39	1594	38265
40	1638	38333
41	1671	38121
42	1704	37943
43	1737	37753
44	1770	37577
45	1797	37281
46	1828	37074
47	1891	37511
48	1956	37969
49	1991	37830
50	2023	37652
51	2049	37371
52	2080	37182
53	2119	37134
54	2167	37242
55	2198	37063
56	2243	37110
57	2310	37526
58	2353	37533
59	2381	37309
60	2421	37277
61	2468	37351
62	2500	37192
63	2534	37073
64	2578	37094
65	2601	36817
66	2632	36664
67	2690	36877
68	2754	37170
69	2804	37262
70	2867	37519
71	2895	37321
72	2925	37146
73	2957	37013
74	3006	37074
75	3053	37125
76	3085	36981
77	3117	36844
78	3150	36734
79	3182	36596
80	3232	36677
81	3243	36308
82	3274	36174
83	3288	35859
84	3318	35728
85	3351	35620
86	3383	35503
87	3413	35381
88	3447	35287
89	3481	35205
90	3514	35108
91	3545	34997
92	3581	34931
93	3625	34947
94	3658	34851
95	3691	34758
96	3705	34493
97	3738	34405
98	3770	34314
99	3816	34352
100	3866	34417
101	3899	34327
102	3930	34227
103	3962	34142
104	3976	33896
105	4008	33803
106	4058	33868
107	4089	33774
108	4135	33803
109	4168	33724
110	4216	33772
111	4249	33688
112	4282	33615
113	4315	33538
114	4360	33558
115	4393	33484
116	4426	33406
117	4475	33450
118	4522	33481
119	4570	33518
120	4615	33526
121	4650	33471
122	4700	33513
123	4734	33445
124	4767	33369
125	4800	33295
126	4838	33259
127	4874	33204
128	4903	33107
129	4932	33012
130	4984	33065
131	5016	32984
132	5049	32915
133	5097	32946
134	5141	32941
135	5173	32864
136	5220	32887
137	5253	32813
138	5284	32735
139	5331	32748
140	5394	32863
141	5425	32784
142	5463	32744
143	5494	32660
144	5541	32676
145	5575	32612
146	5618	32603
147	5651	32535
148	5699	32550
149	5731	32476
150	5779	32495
151	5814	32436
152	5857	32428
153	5890	32357
154	5925	32305
155	5959	32240
156	5991	32169
157	6033	32155
158	6069	32100
159	6115	32108
160	6163	32118
161	6197	32058
162	6240	32043
163	6308	32158
